,TV,radyo,gazete,satışlar,şehir,tür
88,88.3,25.5,73.4,12.9,İzmir,Eşya
89,109.8,47.8,51.4,16.7,İzmir,Gıda
90,134.3,4.9,9.3,11.2,İzmir,Eşya
91,28.6,1.5,33.0,7.3,İstanbul,Gıda
92,217.7,33.5,59.0,19.4,İzmir,Gıda
93,250.9,36.5,72.3,22.2,İstanbul,Gıda
94,107.4,14.0,10.9,11.5,İzmir,Eşya
95,163.3,31.6,52.9,16.9,İstanbul,Eşya
96,197.6,3.5,5.9,11.7,İstanbul,Eşya
97,184.9,21.0,22.0,15.5,İzmir,Eşya
98,289.7,42.3,51.2,25.4,İstanbul,Eşya
99,135.2,41.7,45.9,17.2,Ankara,Gıda
100,222.4,4.3,49.8,11.7,İstanbul,Gıda
101,296.4,36.3,100.9,23.8,İstanbul,Gıda
102,280.2,10.1,21.4,14.8,Ankara,Eşya
103,187.9,17.2,17.9,14.7,İstanbul,Eşya
104,238.2,34.3,5.3,20.7,İzmir,Gıda
105,137.9,46.4,59.0,19.2,İzmir,Eşya
106,25.0,11.0,29.7,7.2,İzmir,Gıda
107,90.4,0.3,23.2,8.7,Ankara,Eşya
108,13.1,0.4,25.6,5.3,Ankara,Eşya
109,255.4,26.9,5.5,19.8,Ankara,Eşya
110,225.8,8.2,56.5,13.4,İstanbul,Eşya
111,241.7,38.0,23.2,21.8,İstanbul,Eşya
112,175.7,15.4,2.4,14.1,İstanbul,Gıda
113,209.6,20.6,10.7,15.9,İzmir,Eşya
114,78.2,46.8,34.5,14.6,İstanbul,Gıda
115,75.1,35.0,52.7,12.6,İzmir,Eşya
116,139.2,14.3,25.6,12.2,İstanbul,Eşya
117,76.4,0.8,14.8,9.4,İzmir,Gıda
118,125.7,36.9,79.2,15.9,İstanbul,Eşya
119,19.4,16.0,22.3,6.6,Ankara,Eşya
120,141.3,26.8,46.2,15.5,İzmir,Eşya
121,18.8,21.7,50.4,7.0,İstanbul,Gıda
122,224.0,2.4,15.6,11.6,Ankara,Gıda
123,123.1,34.6,12.4,15.2,İzmir,Eşya
124,229.5,32.3,74.2,19.7,İzmir,Gıda
125,87.2,11.8,25.9,10.6,İzmir,Gıda
126,7.8,38.9,50.6,6.6,İstanbul,Gıda
127,80.2,0.0,9.2,8.8,İstanbul,Eşya
128,220.3,49.0,3.2,24.7,Ankara,Gıda
129,59.6,12.0,43.1,9.7,İstanbul,Eşya
130,0.7,39.6,8.7,1.6,İzmir,Gıda
131,265.2,2.9,43.0,12.7,Ankara,Eşya
132,8.4,27.2,2.1,5.7,İzmir,Gıda
133,219.8,33.5,45.1,19.6,İzmir,Gıda
134,36.9,38.6,65.6,10.8,Ankara,Eşya
135,48.3,47.0,8.5,11.6,Ankara,Gıda
136,25.6,39.0,9.3,9.5,İzmir,Eşya
137,273.7,28.9,59.7,20.8,Ankara,Eşya
138,43.0,25.9,20.5,9.6,Ankara,Eşya
139,184.9,43.9,1.7,20.7,İstanbul,Gıda
140,73.4,17.0,12.9,10.9,İzmir,Gıda
141,193.7,35.4,75.6,19.2,İzmir,Gıda
142,220.5,33.2,37.9,20.1,Ankara,Gıda
143,104.6,5.7,34.4,10.4,Ankara,Eşya
144,96.2,14.8,38.9,11.4,Ankara,Eşya
145,140.3,1.9,9.0,10.3,İstanbul,Gıda
146,240.1,7.3,8.7,13.2,Ankara,Gıda
147,243.2,49.0,44.3,25.4,Ankara,Gıda
148,38.0,40.3,11.9,10.9,Ankara,Gıda
149,44.7,25.8,20.6,10.1,İzmir,Gıda
150,280.7,13.9,37.0,16.1,İstanbul,Gıda
151,121.0,8.4,48.7,11.6,İstanbul,Eşya
152,197.6,23.3,14.2,16.6,Ankara,Eşya
153,171.3,39.7,37.7,19.0,İstanbul,Eşya
154,187.8,21.1,9.5,15.6,Ankara,Gıda
155,4.1,11.6,5.7,3.2,İstanbul,Gıda
156,93.9,43.5,50.5,15.3,İstanbul,Eşya
157,149.8,1.3,24.3,10.1,İstanbul,Gıda
158,11.7,36.9,45.2,7.3,İzmir,Gıda
159,131.7,18.4,34.6,12.9,Ankara,Gıda
160,172.5,18.1,30.7,14.4,İstanbul,Gıda
161,85.7,35.8,49.3,13.3,İzmir,Gıda
162,188.4,18.1,25.6,14.9,İstanbul,Gıda
163,163.5,36.8,7.4,18.0,İzmir,Eşya
164,117.2,14.7,5.4,11.9,Ankara,Eşya
165,234.5,3.4,84.8,11.9,İstanbul,Gıda
166,17.9,37.6,21.6,8.0,Ankara,Gıda
167,206.8,5.2,19.4,12.2,Ankara,Eşya
168,215.4,23.6,57.6,17.1,İstanbul,Gıda
169,284.3,10.6,6.4,15.0,İstanbul,Gıda
170,50.0,11.6,18.4,8.4,İzmir,Eşya
171,164.5,20.9,47.4,14.5,İzmir,Gıda
172,19.6,20.1,17.0,7.6,Ankara,Gıda
173,168.4,7.1,12.8,11.7,İstanbul,Gıda
174,222.4,3.4,13.1,11.5,Ankara,Gıda
175,276.9,48.9,41.8,27.0,İstanbul,Gıda
176,248.4,30.2,20.3,20.2,Ankara,Gıda
177,170.2,7.8,35.2,11.7,İzmir,Eşya
178,276.7,2.3,23.7,11.8,Ankara,Gıda
179,165.6,10.0,17.6,12.6,İzmir,Gıda
180,156.6,2.6,8.3,10.5,İzmir,Eşya
181,218.5,5.4,27.4,12.2,Ankara,Gıda
182,56.2,5.7,29.7,8.7,İzmir,Gıda
183,287.6,43.0,71.8,26.2,İzmir,Eşya
184,253.8,21.3,30.0,17.6,Ankara,Eşya
185,205.0,45.1,19.6,22.6,İzmir,Eşya
186,139.5,2.1,26.6,10.3,İstanbul,Gıda
187,191.1,28.7,18.2,17.3,İstanbul,Eşya
188,286.0,13.9,3.7,15.9,Ankara,Gıda
189,18.7,12.1,23.4,6.7,İzmir,Gıda
190,39.5,41.1,5.8,10.8,İstanbul,Gıda
191,75.5,10.8,6.0,9.9,Ankara,Eşya
192,17.2,4.1,31.6,5.9,İzmir,Eşya
193,166.8,42.0,3.6,19.6,İstanbul,Eşya
194,149.7,35.6,6.0,17.3,Ankara,Eşya
195,38.2,3.7,13.8,7.6,İstanbul,Gıda
196,94.2,4.9,8.1,9.7,İstanbul,Eşya
197,177.0,9.3,6.4,12.8,İstanbul,Gıda
198,283.6,42.0,66.2,25.5,İstanbul,Eşya
199,232.1,8.6,8.7,13.4,Ankara,Eşya
